country_id,probability,name,count
US,0.11401947148682534,Martin,713756
ES,0.06086739487787063,Martin,713756
FR,0.049566405802336934,Martin,713756
IE,0.031634207672199065,Martin,713756
GB,0.028303365051273698,Martin,713756
IT,0.24195035873094978,Pagnotto,136
US,0.18434313046167602,Pagnotto,136
PS,0.07006307932292254,Pagnotto,136
CH,0.05979985540215779,Pagnotto,136
GR,0.058381298711451916,Pagnotto,136
TR,0.7142857142857143,T'an,9
NG,0.7142857142857143,Chukwufumnanya,11
TW,0.45119694815028744,Hsing,767
CN,0.09554960044046253,Hsing,767
LC,0.028566259689299035,Hsing,767
HK,0.02457861687367529,Hsing,767
US,0.020358298162527988,Hsing,767
TW,0.44861810220593673,Liao,34294
CN,0.12336822544904741,Liao,34294
LC,0.020779012956241988,Liao,34294
HK,0.020415445334704945,Liao,34294
SG,0.013461681119348019,Liao,34294
CA,0.19710577095520243,Maclean,16530
NZ,0.10601955514444217,Maclean,16530
GB,0.08937343257488005,Maclean,16530
AU,0.07517677400858544,Maclean,16530
US,0.06537728322947886,Maclean,16530
TW,0.21821594088648447,Lu,125903
CN,0.2030408566005702,Lu,125903
LC,0.03239869364284704,Lu,125903
HK,0.028577119745407796,Lu,125903
SG,0.025417915205682394,Lu,125903
NG,0.44966575975043854,Nwachinemelu,45
KE,0.10606246067434605,Nwachinemelu,45
CM,0.05499046963731168,Nwachinemelu,45
SE,0.035399417413287185,Nwachinemelu,45
CH,0.03370456683620858,Nwachinemelu,45
US,0.6839361457154923,Kline,18147
CA,0.030351770728225327,Kline,18147
SI,0.02848208114705483,Kline,18147
AU,0.02261492855468786,Kline,18147
CR,0.008736652192362263,Kline,18147
OM,0.1503100658407708,Udinese,44
UA,0.1400444086740346,Udinese,44
ID,0.12808863021801295,Udinese,44
IT,0.12801029167853392,Udinese,44
RO,0.08078555754618524,Udinese,44
NG,0.47033144483806383,Nwabugwu,225
NE,0.12151751289866705,Nwabugwu,225
BJ,0.02430350257973341,Nwabugwu,225
AM,0.02430350257973341,Nwabugwu,225
US,0.021387082270165402,Nwabugwu,225
AU,0.1771375427347876,Nott,2928
GB,0.09971979650414581,Nott,2928
US,0.07964930603758734,Nott,2928
AT,0.06059951938457583,Nott,2928
NZ,0.04525528752135645,Nott,2928
DZ,0.0919771757859181,Lucciano,244
US,0.0905011790775328,Lucciano,244
FR,0.045887921785791284,Lucciano,244
AR,0.03757325189740241,Lucciano,244
AT,0.03309201901774359,Lucciano,244
VN,0.4526014118592386,Tien,8736
TW,0.12331319990666456,Tien,8736
LC,0.027040149364239957,Tien,8736
SG,0.015720815182185374,Tien,8736
CN,0.013421569048224814,Tien,8736
NG,0.46716682259339143,Chidubem,867
NE,0.14474172968303556,Chidubem,867
CM,0.020591826806713488,Chidubem,867
IS,0.017369007561964266,Chidubem,867
AE,0.011911518444989914,Chidubem,867
NG,0.39362330629293946,Nwoye,1952
NE,0.20243577014004419,Nwoye,1952
CM,0.04792162386566888,Nwoye,1952
US,0.00947767469292025,Nwoye,1952
AE,0.006310397207488041,Nwoye,1952
US,0.20908695945619227,Walker,310779
JM,0.0918415254480304,Walker,310779
GB,0.07739318595792384,Walker,310779
NZ,0.07331158850974141,Walker,310779
AU,0.05772306517879375,Walker,310779
GB,0.18899842915633158,Houghton,14983
NZ,0.15702215074356324,Houghton,14983
US,0.1195593856449021,Houghton,14983
AU,0.098761191934819,Houghton,14983
CA,0.03831489183945523,Houghton,14983
UA,0.4100679675872254,Yermakov,254
KZ,0.047641869850755594,Yermakov,254
RU,0.0459412562983822,Yermakov,254
BY,0.04483618798015387,Yermakov,254
AZ,0.0358689503841231,Yermakov,254
CA,0.21946962897926953,Macintyre,4746
NZ,0.11940563514835771,Macintyre,4746
GB,0.0953473649157267,Macintyre,4746
US,0.08842650647375602,Macintyre,4746
AU,0.07210870378356768,Macintyre,4746
US,0.16140143646180838,Zetticci,24
KW,0.1497749471127971,Zetticci,24
IT,0.14526129281562755,Zetticci,24
OM,0.12002809676260705,Zetticci,24
CN,0.10534279399530998,Zetticci,24
TW,0.48105498661558266,Hsia,2251
CN,0.08776286590933982,Hsia,2251
US,0.03187348632537985,Hsia,2251
HK,0.023902268182296925,Hsia,2251
LC,0.021673817476633942,Hsia,2251
NZ,0.21542276223151563,Milne,16206
GB,0.1184629113022015,Milne,16206
AU,0.11735198510545124,Milne,16206
CA,0.06684760997670337,Milne,16206
US,0.04530291644266269,Milne,16206
NG,0.4213829951382236,Chukwualuka,25
NE,0.1751831954656305,Chukwualuka,25
NO,0.11771952368186024,Chukwualuka,25
CN,0.6157399742737186,Ch'eng,2
GB,0.09854574001199554,Ch'eng,2
NG,0.35249935225170004,Ugoji,457
NE,0.25792083687643924,Ugoji,457
TT,0.01984006437511071,Ugoji,457
US,0.01706245536259521,Ugoji,457
GB,0.014921535504678347,Ugoji,457
IT,0.5343300083027486,Lo Duca,203
AR,0.12426376060232747,Lo Duca,203
CH,0.09846168622872695,Lo Duca,203
BE,0.05694479895068079,Lo Duca,203
US,0.025293728203680407,Lo Duca,203
NG,0.4280547068103793,Chibuzo,1761
NE,0.1616913308147284,Chibuzo,1761
CM,0.02154864519777437,Chibuzo,1761
GM,0.007952032663019429,Chibuzo,1761
SN,0.007952032663019429,Chibuzo,1761
IT,0.2442471034012967,Milani,19898
IR,0.15224036336527821,Milani,19898
BR,0.07716258046638773,Milani,19898
AR,0.03517173606732537,Milani,19898
CH,0.028484088735768135,Milani,19898
TW,0.5258130271485408,Hsiung,1690
CN,0.06200323752121743,Hsiung,1690
US,0.026776790474656434,Hsiung,1690
LC,0.02235264098131424,Hsiung,1690
CA,0.01847194251389808,Hsiung,1690
CN,0.28362878796211605,Mao,22398
KH,0.0802947384553087,Mao,22398
TW,0.0652292936103957,Mao,22398
LC,0.030104954483014784,Mao,22398
US,0.025740035729730274,Mao,22398
VN,0.6049590959497536,Tuan,8152
TW,0.025021939342467155,Tuan,8152
LC,0.013672068906020822,Tuan,8152
MY,0.00881941506074966,Tuan,8152
SG,0.007295236075828555,Tuan,8152
TW,0.28515789288098886,Ch'in,11
CN,0.16795314750189064,Ch'in,11
HK,0.11060039474929662,Ch'in,11
CZ,0.08758416313761576,Ch'in,11
US,0.025733017168971247,Ch'in,11
NG,0.3834408918894884,Nwachukwu,15475
NE,0.2425026683963326,Nwachukwu,15475
US,0.012415208382013201,Nwachukwu,15475
GH,0.006132095688017498,Nwachukwu,15475
CM,0.0057480156065430246,Nwachukwu,15475
AU,0.311028684322963,Cavenagh,122
NZ,0.1505594625236536,Cavenagh,122
KE,0.07377265562963055,Cavenagh,122
CA,0.04852901033723727,Cavenagh,122
US,0.04817902800756915,Cavenagh,122
IT,0.36411232548168565,Genovese,15418
MT,0.12520690150453045,Genovese,15418
US,0.09096592191577375,Genovese,15418
AR,0.06142475818094718,Genovese,15418
CH,0.03069562940830634,Genovese,15418
LC,0.45518047904051934,T'ang,6
TW,0.22214630260113996,T'ang,6
MY,0.022586337826093542,T'ang,6
IT,0.010023384871279725,T'ang,6
US,0.010023384871279725,T'ang,6
NG,0.44120367278993383,Onyekachukwu,373
NE,0.21304448082478217,Onyekachukwu,373
IS,0.012532028283810715,Onyekachukwu,373
KE,0.012281141170746558,Onyekachukwu,373
NO,0.008421266642708505,Onyekachukwu,373
NE,0.3810163142943186,Chidumaga,9
NG,0.3332693999913958,Chidumaga,9
NE,0.3600192210802323,Ikedinachukwu,10
NG,0.354266493205482,Ikedinachukwu,10
NG,0.38249831710063303,Onuora,658
NE,0.21140340421554776,Onuora,658
IS,0.02045839395634333,Onuora,658
JM,0.02045839395634333,Onuora,658
ML,0.013638929304228886,Onuora,658
IT,0.22383790286336086,Palermo,25259
UY,0.09634541956952657,Palermo,25259
AR,0.08767469183279783,Palermo,25259
US,0.06664827227068516,Palermo,25259
PH,0.03983540932566198,Palermo,25259
LC,0.16037622076898558,Chin,81810
MY,0.14123603537018808,Chin,81810
SG,0.10810565182885601,Chin,81810
TW,0.049080820812840334,Chin,81810
HK,0.04127649813248931,Chin,81810
TW,0.555448725354799,Tsou,1767
GR,0.03438288185812156,Tsou,1767
CN,0.031429243169761326,Tsou,1767
US,0.016963501733199285,Tsou,1767
HK,0.011916318818679647,Tsou,1767
NG,0.484331399482584,Onyemauchechukwu,24
NE,0.21094121822008632,Onyemauchechukwu,24
MY,0.019013096583044006,Onyemauchechukwu,24
US,0.21347775383491172,Smith,1470396
GB,0.07331843717037852,Smith,1470396
JM,0.06711329487483675,Smith,1470396
AU,0.05304461440422222,Smith,1470396
NZ,0.0523788422625041,Smith,1470396
IT,0.45657105164690776,Lucchese,4345
US,0.07246184814301966,Lucchese,4345
BE,0.055300442577612324,Lucchese,4345
UY,0.04486488639175621,Lucchese,4345
BR,0.029790163887200096,Lucchese,4345
NG,0.39171137835804226,Nwankwo,12154
NE,0.22372598719453676,Nwankwo,12154
US,0.014894841994917633,Nwankwo,12154
CM,0.008477351389679675,Nwankwo,12154
GH,0.006763583969450743,Nwankwo,12154
IT,0.2884973721238959,Toscani,2214
AR,0.10981549050971179,Toscani,2214
UY,0.10773571067169817,Toscani,2214
US,0.03405146390745477,Toscani,2214
CH,0.029275552863918586,Toscani,2214
HK,0.2961246344532287,Lo,123729
TW,0.10454533283389306,Lo,123729
SN,0.06674789658141397,Lo,123729
MO,0.053239932425785445,Lo,123729
LC,0.019522633057843523,Lo,123729
US,0.24534108735867755,Clements,26752
GB,0.13155020237803197,Clements,26752
AU,0.10307460111019359,Clements,26752
NZ,0.09841450827749766,Clements,26752
CA,0.05418672751093346,Clements,26752
CN,0.31029889372138725,T'ien,7
CA,0.21891631491874539,T'ien,7
CH,0.18507050564558167,T'ien,7
IT,0.5961171243162487,Li Fonti,31
OM,0.1583248519250953,Li Fonti,31
PH,0.11177563254014505,Li Fonti,31
US,0.021289897297008885,Li Fonti,31
GB,0.2614937996156798,Chuter,463
NZ,0.13397190980578647,Chuter,463
AU,0.09413666438052111,Chuter,463
SI,0.03827768851593899,Chuter,463
US,0.03521547343466387,Chuter,463
NP,0.5538636906950646,Ts'ui,3
CN,0.14459734671364785,Ts'ui,3
US,0.022154547627802584,Ts'ui,3
NG,0.7142857142857143,Nwokezuike,6
NG,0.40895751840500966,Chiedozie,685
NE,0.22360997753275466,Chiedozie,685
AE,0.009293929143141637,Chiedozie,685
GB,0.00821056740008709,Chiedozie,685
US,0.0070471023222443896,Chiedozie,685
TW,0.5842303699697537,Chuang,11865
LC,0.028689480592860098,Chuang,11865
CN,0.022968623715271273,Chuang,11865
HK,0.01890660347499935,Chuang,11865
SG,0.013614276299923232,Chuang,11865
NG,0.29357551433541085,Nwora,133
NE,0.21480675598448584,Nwora,133
IE,0.049142351895129825,Nwora,133
US,0.041529306157000595,Nwora,133
RS,0.03580112599741431,Nwora,133
US,0.3094374162055302,Pugh,23556
GB,0.16491434392850285,Pugh,23556
NZ,0.06317763709332769,Pugh,23556
AU,0.06007768850899176,Pugh,23556
IE,0.03194972094507724,Pugh,23556
TW,0.6384404720151552,Hsiao,9081
CN,0.01632287067098832,Hsiao,9081
US,0.011630417159091268,Hsiao,9081
LC,0.007492546339627093,Hsiao,9081
HK,0.007165950609857637,Hsiao,9081
IE,0.3192578845325487,Maughan,4259
GB,0.11989420878178975,Maughan,4259
US,0.10026771335975468,Maughan,4259
AU,0.06815766589178034,Maughan,4259
NZ,0.019609070409339246,Maughan,4259
TW,0.37296663868000496,Ts'ao,8
HK,0.14465760372111702,Ts'ao,8
CN,0.10983550244153772,Ts'ao,8
US,0.06731398398017774,Ts'ao,8
CA,0.03874455231435622,Ts'ao,8
NG,0.7142857142857143,Chigolum,6
LC,0.15829010344349834,Ting,32534
TW,0.12967780157198164,Ting,32534
HK,0.11420241889982627,Ting,32534
SG,0.09144598440093203,Ting,32534
MY,0.08496769748912492,Ting,32534
IT,0.40581076991671233,Milanesi,3207
AR,0.1537608567690788,Milanesi,3207
BR,0.03781701799440645,Milanesi,3207
CH,0.02753311138967044,Milanesi,3207
UY,0.027357325097035742,Milanesi,3207
IT,0.2511940087334926,Palerma,114
LU,0.0996801621958304,Palerma,114
BJ,0.0996801621958304,Palerma,114
US,0.07974412975666433,Palerma,114
PT,0.06899128325723333,Palerma,114
NG,0.41577294344335974,Chikezie,2101
NE,0.1880096973337149,Chikezie,2101
GH,0.013307368221127127,Chikezie,2101
US,0.01145963869462643,Chikezie,2101
AE,0.009209675705576337,Chikezie,2101
TW,0.6222090606082118,Kuo,20510
CN,0.018426588509181583,Kuo,20510
US,0.013321218738570603,Kuo,20510
HK,0.009992923939294905,Kuo,20510
LC,0.009148916959047878,Kuo,20510
NG,0.4178597730527477,Chukwudi,5195
NE,0.20472407189471048,Chukwudi,5195
GH,0.00978359959904958,Chukwudi,5195
CM,0.008852667069571045,Chukwudi,5195
NO,0.008195682709211427,Chukwudi,5195
TW,0.6071319822452619,Shih,12454
HK,0.026748680936240866,Shih,12454
CN,0.016444216015196727,Shih,12454
US,0.015893774722067558,Shih,12454
LC,0.008818152220377417,Shih,12454
US,0.27022825534821804,Lipton,2377
CA,0.0619317944933084,Lipton,2377
BD,0.05849429821624402,Lipton,2377
GH,0.040651224756044026,Lipton,2377
AU,0.04064413123081966,Lipton,2377
HK,0.37908580674406267,T'ao,7
CN,0.28783194924520683,T'ao,7
US,0.044100301791736234,T'ao,7
IT,0.022050150895868117,T'ao,7
NG,0.4072860539251504,Ugochukwu,7526
NE,0.20538635010170078,Ugochukwu,7526
GH,0.010284886553937415,Ugochukwu,7526
IS,0.008981910354301785,Ugochukwu,7526
US,0.007185528283441427,Ugochukwu,7526
JP,0.2165146657424198,Ch'en,16
GT,0.180988793177713,Ch'en,16
CN,0.14649033445837367,Ch'en,16
US,0.0897783303921288,Ch'en,16
TN,0.051629756199303205,Ch'en,16
NG,0.4029887307685345,Ndubueze,945
NE,0.21997442368838857,Ndubueze,945
US,0.010754305158098998,Ndubueze,945
AE,0.010057106586132602,Ndubueze,945
NO,0.009854554184439175,Ndubueze,945
TW,0.6481052471318758,Hsieh,19455
US,0.011645625418702987,Hsieh,19455
CN,0.009936728082517365,Hsieh,19455
HK,0.007125935765503597,Hsieh,19455
LC,0.006756917174002143,Hsieh,19455
TW,0.5469780261404937,Tsao,5286
CN,0.04579821862609212,Tsao,5286
HK,0.03107989827929955,Tsao,5286
US,0.02160002376795416,Tsao,5286
LC,0.017027352038366094,Tsao,5286
TW,0.2661857226242042,Ch'ang,6
HK,0.20648382341042684,Ch'ang,6
SG,0.12346632016756656,Ch'ang,6
AU,0.11814984808351675,Ch'ang,6
NG,0.4900762858210206,Chinwendu,1698
NE,0.1690337651044578,Chinwendu,1698
IS,0.011657501041686747,Chinwendu,1698
NO,0.009792002782434335,Chinwendu,1698
CM,0.00740386622530457,Chinwendu,1698
IT,0.34795174931606404,Cattaneo,14654
AR,0.14538030781699524,Cattaneo,14654
CH,0.11595985712796955,Cattaneo,14654
UY,0.0682406279949541,Cattaneo,14654
US,0.015747392011287074,Cattaneo,14654
IT,0.3509999321652132,Lombardi,45043
US,0.08974379973483662,Lombardi,45043
AR,0.07384372527894632,Lombardi,45043
UY,0.049814937328077645,Lombardi,45043
CH,0.031192705609274243,Lombardi,45043
